campaign,pair_id,workload,seed,handle_mode,first_operation_id,repetition_id,paired_target_strategy,first_strategy,second_strategy,baseline_schedule_position,target_schedule_position,baseline_request_id,target_request_id,same_warm_session,same_run_config,same_manifest,same_image,baseline_first_query_us,target_first_query_us,baseline_open_us,target_open_us,baseline_deliver_us,target_deliver_us
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r5-layers_5,native_ycsb_c_read_zipf,1,standalone,0,5,layers_5,layers_5,baseline,124,123,native_ycsb_c_read_zipf-s1-f0-standalone-r5-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r5-layers_5:layers_5,true,true,true,true,233.456,321.15,389.678,2677.182,0.12,38.282
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,5,2e_K10,2e_K10,baseline,126,125,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2e_K10:2e_K10,true,true,true,true,286.395,72.265,415.316,2300.538,0.15,439.331
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,5,2f_slru,baseline,2f_slru,127,128,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r5-2f_slru:2f_slru,true,true,true,true,304.139,13.525,3425.67,183.743,0.13,103046.023
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2d,native_ycsb_c_read_zipf,1,standalone,0,6,2d,2d,baseline,130,129,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2d:2d,true,true,true,true,267.83,228.788,414.344,2285.991,0.15,388.375
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r6-layers_5,native_ycsb_c_read_zipf,1,standalone,0,6,layers_5,layers_5,baseline,132,131,native_ycsb_c_read_zipf-s1-f0-standalone-r6-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r6-layers_5:layers_5,true,true,true,true,232.865,145.251,386.883,210.233,0.14,31.579
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,6,2e_K10,baseline,2e_K10,133,134,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2e_K10:2e_K10,true,true,true,true,137.617,447.246,3203.554,639.354,0.15,457.555
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2f_slru,native_ycsb_c_read_zipf,1,standalone,0,6,2f_slru,baseline,2f_slru,135,136,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2f_slru:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r6-2f_slru:2f_slru,true,true,true,true,138.398,14.227,3166.355,196.977,0.14,103963.151
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r7-2d,native_ycsb_c_read_zipf,1,standalone,0,7,2d,baseline,2d,137,138,native_ycsb_c_read_zipf-s1-f0-standalone-r7-2d:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r7-2d:2d,true,true,true,true,298.948,233.005,427.939,395.919,0.15,456.152
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r7-layers_5,native_ycsb_c_read_zipf,1,standalone,0,7,layers_5,baseline,layers_5,139,140,native_ycsb_c_read_zipf-s1-f0-standalone-r7-layers_5:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r7-layers_5:layers_5,true,true,true,true,292.897,234.458,3363.142,363.179,0.151,37.12
primary,native_ycsb_c_read_zipf-s1-f0-standalone-r7-2e_K10,native_ycsb_c_read_zipf,1,standalone,0,7,2e_K10,2e_K10,baseline,142,141,native_ycsb_c_read_zipf-s1-f0-standalone-r7-2e_K10:baseline,native_ycsb_c_read_zipf-s1-f0-standalone-r7-2e_K10:2e_K10,true,true,true,true,286.715,74.379,412.23,2143.494,0.14,431.175
