workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
C,orig,2e_K500,async_win,10,128,180.53,182.99,177.85,1.73,45.9,529.91,223.12,224.04,83.82,90.00,711.50,405.33,0.0
C,orig,2e_K500,pread,5,128,179.92,180.36,176.97,1.25,100.0,2496.57,224.56,2273.22,,,2676.49,2453.14,0.0
C,orig,2f_slru,async,10,128,95.20,178.85,91.72,44.98,100.0,1010.68,223.38,787.64,,,1118.65,895.27,0.0
C,orig,2f_slru,async_bulk,5,128,728.57,756.14,630.89,45.49,13.4,352.24,222.92,38.13,89.40,2.00,1081.45,766.70,0.0
C,orig,2f_slru,async_win,10,128,93.94,96.63,91.51,1.55,100.0,536.36,223.87,224.06,89.53,15.00,630.45,317.00,0.0
C,orig,2f_slru,pread,5,128,91.80,94.67,90.85,1.54,100.0,3086.04,224.67,2862.58,,,3177.80,2954.34,0.0
C,orig,2f_top100,async,10,128,180.29,182.98,175.94,2.26,100.0,410.11,224.37,184.66,,,592.21,366.76,0.0
C,orig,2f_top100,async_bulk,5,128,178.74,180.30,176.36,1.38,100.0,359.76,222.04,70.84,66.92,32.00,537.88,249.58,0.0
C,orig,2f_top100,async_win,10,128,178.79,181.52,174.57,2.42,100.0,363.70,223.51,73.13,66.19,32.00,542.17,251.82,0.0
C,orig,2f_top100,pread,5,128,178.04,181.00,177.42,1.49,100.0,1386.47,223.50,1163.63,,,1564.11,1341.27,0.0
C,orig,2f_top14,async,10,128,178.99,182.46,176.32,1.98,100.0,305.24,225.35,79.88,,,484.32,259.29,0.0
C,orig,2f_top14,async_bulk,5,128,177.30,181.15,176.06,2.04,100.0,304.54,224.82,16.68,62.26,9.00,482.37,195.29,0.0
C,orig,2f_top14,async_win,10,128,181.69,187.10,174.78,3.98,100.0,303.34,223.88,16.95,62.06,9.00,484.84,198.75,0.0
C,orig,2f_top14,pread,5,128,180.42,186.41,178.68,3.27,100.0,1315.16,224.72,1088.91,,,1503.02,1276.77,0.0
C,orig,2f_top28,async,10,128,180.06,182.70,175.74,2.33,100.0,323.37,224.59,99.47,,,504.27,279.49,0.0
C,orig,2f_top28,async_bulk,5,128,180.94,184.30,175.81,3.41,100.0,318.50,224.40,30.01,63.49,13.00,499.92,211.39,0.0
C,orig,2f_top28,async_win,10,128,178.97,180.54,175.54,1.71,100.0,313.90,223.48,27.38,63.11,13.00,492.86,206.08,0.0
C,orig,2f_top28,pread,5,128,178.48,240.34,175.43,31.20,100.0,1325.63,225.85,1099.78,,,1514.32,1287.36,0.0
C,orig,2f_top500,async,10,128,92.58,141.71,86.72,25.98,100.0,1024.15,223.62,798.28,,,1121.24,898.65,0.0
C,orig,2f_top500,async_bulk,5,128,759.47,766.22,727.35,14.07,13.4,353.48,223.32,40.54,90.12,2.00,1112.82,800.21,0.0
C,orig,2f_top500,async_win,10,128,93.96,98.55,91.61,2.28,100.0,538.76,224.97,225.29,90.00,15.00,633.60,320.46,0.0
C,orig,2f_top500,pread,5,128,92.36,92.97,89.78,1.16,100.0,3039.64,224.34,2814.16,,,3132.39,2906.91,0.0
C,orig,baseline,baseline,10,128,848.95,887.14,752.54,43.89,0.0,0.00,0.00,0.00,,,848.95,848.95,0.0
C,orig,layers_5,async,10,128,821.53,865.92,768.68,32.59,100.0,294.74,224.86,69.74,,,1117.66,893.88,0.0
