workload,layout,checkpoint,strategy,first_query_us
YD,ta,3,layers_92_static,403.65
YD,ta,3,2d_static,429.31
YD,ta,3,2e_K10_static,256.09
YD,ta,3,2e_K500_static,251.23
YD,ta,3,2f_slru_static,37.44
YD,ta,4,baseline,520.52
YD,ta,4,layers_5_static,430.21
YD,ta,4,layers_92_static,428.06
YD,ta,4,2d_static,428.76
YD,ta,4,2e_K10_static,228.67
YD,ta,4,2e_K500_static,95.70
YD,ta,4,2f_slru_static,37.07
YD,ta,5,baseline,535.94
YD,ta,5,layers_5_static,375.62
YD,ta,5,layers_92_static,424.59
YD,ta,5,2d_static,425.89
YD,ta,5,2e_K10_static,253.17
YD,ta,5,2e_K500_static,299.22
YD,ta,5,2f_slru_static,36.20
YD,ta,6,baseline,562.28
YD,ta,6,layers_5_static,312.29
YD,ta,6,layers_92_static,428.86
YD,ta,6,2d_static,430.86
YD,ta,6,2e_K10_static,264.25
YD,ta,6,2e_K500_static,256.56
YD,ta,6,2f_slru_static,38.40
YD,ta,7,baseline,575.67
YD,ta,7,layers_5_static,446.06
YD,ta,7,layers_92_static,427.46
YD,ta,7,2d_static,420.37
YD,ta,7,2e_K10_static,262.79
YD,ta,7,2e_K500_static,254.46
YD,ta,7,2f_slru_static,36.84
YD,ta,8,baseline,533.80
YD,ta,8,layers_5_static,331.23
YD,ta,8,layers_92_static,430.66
YD,ta,8,2d_static,427.77
YD,ta,8,2e_K10_static,253.81
YD,ta,8,2e_K500_static,259.33
YD,ta,8,2f_slru_static,36.35
YD,ta,9,baseline,505.61
YD,ta,9,layers_5_static,403.93
YD,ta,9,layers_92_static,259.38
YD,ta,9,2d_static,256.28
YD,ta,9,2e_K10_static,258.38
YD,ta,9,2e_K500_static,252.90
YD,ta,9,2f_slru_static,202.19
YD,ta,10,baseline,579.53
YD,ta,10,layers_5_static,469.43
YD,ta,10,layers_92_static,459.28
YD,ta,10,2d_static,437.86
YD,ta,10,2e_K10_static,307.69
YD,ta,10,2e_K500_static,310.52
YD,ta,10,2f_slru_static,257.09
YE,ta,0,baseline,526.41
YE,ta,0,layers_5_static,351.09
YE,ta,0,layers_92_static,435.86
YE,ta,0,2d_static,432.88
YE,ta,0,2e_K10_static,252.81
YE,ta,0,2e_K500_static,94.74
YE,ta,0,2f_slru_static,39.88
YE,ta,1,baseline,519.66
YE,ta,1,layers_5_static,301.67
YE,ta,1,layers_92_static,430.00
YE,ta,1,2d_static,430.67
YE,ta,1,2e_K10_static,258.00
YE,ta,1,2e_K500_static,95.76
YE,ta,1,2f_slru_static,37.47
YE,ta,2,baseline,614.85
YE,ta,2,layers_5_static,427.21
YE,ta,2,layers_92_static,427.69
YE,ta,2,2d_static,407.17
YE,ta,2,2e_K10_static,341.58
YE,ta,2,2e_K500_static,258.84
YE,ta,2,2f_slru_static,38.73
YE,ta,3,baseline,533.98
YE,ta,3,layers_5_static,300.81
YE,ta,3,layers_92_static,257.96
YE,ta,3,2d_static,433.55
YE,ta,3,2e_K10_static,253.59
YE,ta,3,2e_K500_static,254.80
YE,ta,3,2f_slru_static,37.01
YE,ta,4,baseline,599.41
YE,ta,4,layers_5_static,366.53
YE,ta,4,layers_92_static,461.09
YE,ta,4,2d_static,458.12
YE,ta,4,2e_K10_static,318.41
YE,ta,4,2e_K500_static,285.24
YE,ta,4,2f_slru_static,40.39
YE,ta,5,baseline,487.80
YE,ta,5,layers_5_static,307.86
YE,ta,5,layers_92_static,430.53
YE,ta,5,2d_static,424.47
YE,ta,5,2e_K10_static,252.75
YE,ta,5,2e_K500_static,254.09
YE,ta,5,2f_slru_static,38.01
YE,ta,6,baseline,561.02
YE,ta,6,layers_5_static,372.48
YE,ta,6,layers_92_static,424.35
YE,ta,6,2d_static,429.64
YE,ta,6,2e_K10_static,255.92
YE,ta,6,2e_K500_static,258.86
YE,ta,6,2f_slru_static,38.09
YE,ta,7,baseline,572.43
YE,ta,7,layers_5_static,344.30
YE,ta,7,layers_92_static,430.75
YE,ta,7,2d_static,432.29
YE,ta,7,2e_K10_static,260.57
YE,ta,7,2e_K500_static,264.94
YE,ta,7,2f_slru_static,37.99
YE,ta,8,baseline,567.19
YE,ta,8,layers_5_static,299.28
YE,ta,8,layers_92_static,436.97
YE,ta,8,2d_static,388.04
YE,ta,8,2e_K10_static,255.29
YE,ta,8,2e_K500_static,258.05
YE,ta,8,2f_slru_static,36.95
YE,ta,9,baseline,528.13
YE,ta,9,layers_5_static,300.10
YE,ta,9,layers_92_static,425.66
YE,ta,9,2d_static,428.58
YE,ta,9,2e_K10_static,255.84
YE,ta,9,2e_K500_static,314.16
YE,ta,9,2f_slru_static,36.82
YE,ta,10,baseline,576.37
YE,ta,10,layers_5_static,300.94
YE,ta,10,layers_92_static,433.02
YE,ta,10,2d_static,429.75
YE,ta,10,2e_K10_static,251.44
YE,ta,10,2e_K500_static,310.47
YE,ta,10,2f_slru_static,37.47
