op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
734,read,70098,1,100,56106,0,0
735,read,47859,1,100,55234,0,0
736,read,9779,1,100,55975,0,0
737,read,28337,1,100,55755,0,0
738,read,11756,1,100,55875,0,0
739,read,57583,1,100,2745,0,0
740,read,5601,1,100,2685,0,0
741,read,70115,1,100,2725,0,0
742,read,40824,1,100,55404,0,0
743,read,91922,1,100,56516,0,0
744,read,4095,1,100,56225,0,0
745,read,27294,1,100,55965,0,0
746,read,88501,1,100,2775,0,0
747,read,4671,1,100,55204,0,0
748,read,20472,1,100,55684,0,0
749,read,84388,1,100,56186,0,0
750,read,68856,1,100,56196,0,0
751,read,12926,1,100,56025,0,0
752,read,93576,1,100,55544,0,0
753,read,6654,1,100,56516,0,0
754,read,53974,1,100,55644,0,0
755,read,95846,1,100,2846,0,0
756,read,61932,1,100,2996,0,0
757,read,80644,1,100,56326,0,0
758,read,50376,1,100,2786,0,0
759,read,43747,1,100,2896,0,0
760,read,86758,1,100,56095,0,0
761,read,23913,1,100,55644,0,0
762,read,84270,1,100,2785,0,0
763,read,86227,1,100,2675,0,0
764,read,53046,1,100,2665,0,0
765,read,56183,1,100,56185,0,0
766,read,86256,1,100,2835,0,0
767,read,89171,1,100,55975,0,0
