workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
B,orig,learned_markov_14,async_bulk,5,128,409.50,417.33,402.61,5.43,100.0,313.56,231.69,19.49,62.25,13.00,724.11,430.40,0.0
B,orig,learned_markov_14,async_win,10,128,412.15,416.53,397.81,6.44,100.0,312.44,231.01,20.04,62.19,13.00,723.61,431.41,0.0
B,orig,learned_markov_14,pread,5,128,417.61,418.50,397.19,8.17,100.0,1452.55,232.95,1219.19,,,1870.16,1636.80,0.0
B,orig,learned_markov_28,async,10,128,412.03,417.33,397.87,6.02,100.0,332.57,231.71,101.00,,,741.97,510.69,0.0
B,orig,learned_markov_28,async_bulk,5,128,407.29,414.62,403.27,4.73,100.0,333.44,232.27,37.13,63.44,27.00,740.47,442.71,0.0
B,orig,learned_markov_28,async_win,10,128,409.42,413.72,398.00,5.50,100.0,331.62,232.20,36.82,63.38,27.00,740.30,445.37,0.0
B,orig,learned_markov_28,pread,5,128,414.17,419.89,399.05,7.54,100.0,2614.95,236.47,2380.37,,,3033.52,2797.05,0.0
C,orig,2d,async,10,128,656.35,674.36,653.40,8.69,100.0,299.80,230.60,69.25,,,956.58,725.31,0.0
C,orig,2d,async_bulk,5,128,652.76,680.79,650.87,14.05,100.0,300.50,230.88,7.46,61.72,2.00,952.57,659.83,0.0
C,orig,2d,async_win,10,128,656.96,661.57,589.71,20.47,100.0,299.61,231.14,7.22,61.35,2.00,956.99,663.70,0.0
C,orig,2d,pread,5,128,653.84,655.96,622.13,12.84,100.0,587.98,229.52,360.24,,,1239.89,1014.08,0.0
C,orig,2e_K10,async,10,128,176.58,181.16,169.98,3.21,100.0,309.03,229.84,79.35,,,484.64,256.09,0.0
C,orig,2e_K10,async_bulk,5,128,176.85,178.04,175.62,0.88,100.0,308.53,230.67,16.09,61.55,8.00,486.35,193.59,0.0
C,orig,2e_K10,async_win,10,128,178.17,183.00,172.16,3.33,100.0,307.26,229.31,16.43,61.95,8.00,485.22,194.48,0.0
C,orig,2e_K10,pread,5,128,177.85,180.22,175.49,1.77,100.0,1377.93,228.61,1147.04,,,1558.71,1327.82,0.0
C,orig,2e_K500,async,10,128,179.39,203.42,176.54,12.38,67.5,689.96,229.26,459.25,,,873.95,642.33,0.0
C,orig,2e_K500,async_bulk,5,128,179.30,182.04,177.55,1.71,42.3,537.19,229.57,223.67,82.09,90.00,716.49,402.97,0.0
C,orig,2e_K500,async_win,10,128,179.64,182.32,176.98,1.81,46.9,536.51,229.76,224.66,82.78,90.00,718.07,402.84,0.0
C,orig,2e_K500,pread,5,128,177.00,179.42,175.90,1.40,100.0,2400.55,229.34,2170.61,,,2577.55,2347.61,0.0
C,orig,2f_slru,async,10,128,93.74,97.95,90.41,2.62,100.0,999.62,229.13,772.46,,,1091.27,864.10,0.0
C,orig,2f_slru,async_bulk,5,128,462.22,469.44,404.60,28.95,13.3,355.91,228.66,38.68,89.59,2.00,815.60,500.14,0.0
C,orig,2f_slru,async_win,10,128,91.49,93.30,89.44,1.27,100.0,545.07,229.44,224.90,90.54,16.00,636.85,317.07,0.0
C,orig,2f_slru,pread,5,128,90.81,90.98,89.24,0.66,100.0,3020.37,229.59,2791.05,,,3111.29,2881.97,0.0
C,orig,2f_top100,async,10,128,178.36,179.37,176.51,0.99,100.0,409.39,229.43,180.51,,,587.38,358.50,0.0
C,orig,2f_top100,async_bulk,5,128,179.65,182.51,177.97,1.64,100.0,367.25,229.63,72.34,65.88,32.00,547.13,251.96,0.0
C,orig,2f_top100,async_win,10,128,178.83,182.83,174.89,2.33,100.0,367.93,229.75,71.23,65.94,32.00,546.50,250.74,0.0
C,orig,2f_top100,pread,5,128,177.46,179.10,175.15,1.37,100.0,1367.00,228.60,1138.40,,,1542.15,1313.55,0.0
C,orig,2f_top14,async,10,128,178.14,185.70,175.05,3.53,100.0,307.99,228.37,78.98,,,486.46,258.62,0.0
C,orig,2f_top14,async_bulk,5,128,178.31,180.73,176.10,1.75,100.0,308.23,228.50,16.81,61.91,9.00,485.63,195.70,0.0
C,orig,2f_top14,async_win,10,128,179.69,183.00,176.11,1.97,100.0,309.52,230.25,17.29,61.83,9.00,489.67,196.81,0.0
