workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
B,orig,lp_shuf,pread,128,2,0,0.00,100.00,98.42,265780.74,177.41,265603.32,,,265879.16,265701.74,1.59,0.00,278.00,1.00,43007936,2026-09-23T02:03:40Z
C,orig,lp_sorted,pread,128,2,0,0.00,100.00,91.63,3040.84,168.71,2872.13,,,3132.47,2963.76,1.53,0.00,37.00,1.00,42996712,2026-09-23T02:03:40Z
C,orig,lp_shuf,pread,128,2,0,0.00,100.00,95.39,29208.58,172.81,29035.77,,,29303.97,29131.16,1.52,0.00,37.00,1.00,42997648,2026-09-23T02:03:40Z
C_hit,orig,lp_sorted,pread,128,2,0,0.00,100.00,97.06,4668.27,176.42,4491.84,,,4765.33,4588.90,1.55,0.00,62.00,1.00,42999292,2026-09-23T02:03:40Z
C_hit,orig,lp_shuf,pread,128,2,0,0.00,100.00,95.54,53762.13,173.67,53588.47,,,53857.67,53684.01,1.53,0.00,62.00,1.00,42999072,2026-09-23T02:03:41Z
A,orig,lp_sorted,pread,128,3,0,0.00,100.00,95.18,18461.26,166.54,18294.71,,,18556.44,18389.89,1.54,0.00,278.00,1.00,42999464,2026-09-23T02:03:41Z
A,orig,lp_shuf,pread,128,3,0,0.00,100.00,100.45,273569.51,174.22,273395.29,,,273669.96,273495.74,1.55,0.00,278.00,1.00,43000032,2026-09-23T02:03:42Z
B,orig,lp_sorted,pread,128,3,0,0.00,100.00,94.79,18054.32,174.63,17879.69,,,18149.11,17974.48,1.58,0.00,278.00,1.00,43000240,2026-09-23T02:03:42Z
B,orig,lp_shuf,pread,128,3,0,0.00,100.00,99.28,267721.10,174.11,267546.99,,,267820.38,267646.27,1.60,0.00,278.00,1.00,43000448,2026-09-23T02:03:42Z
C,orig,lp_sorted,pread,128,3,0,0.00,100.00,91.70,2871.20,173.77,2697.43,,,2962.90,2789.13,1.53,0.00,37.00,1.00,43001272,2026-09-23T02:03:43Z
C,orig,lp_shuf,pread,128,3,0,0.00,100.00,92.57,29361.30,178.31,29182.98,,,29453.87,29275.55,1.52,0.00,37.00,1.00,43002100,2026-09-23T02:03:43Z
C_hit,orig,lp_sorted,pread,128,3,0,0.00,100.00,94.99,4477.53,174.39,4303.14,,,4572.52,4398.13,1.53,0.00,62.00,1.00,43002204,2026-09-23T02:03:43Z
C_hit,orig,lp_shuf,pread,128,3,0,0.00,100.00,92.13,53560.97,177.00,53383.97,,,53653.10,53476.10,1.54,0.00,62.00,1.00,43001756,2026-09-23T02:03:43Z
A,orig,lp_sorted,pread,128,4,0,0.00,100.00,95.30,18284.41,175.33,18109.08,,,18379.71,18204.38,1.56,0.00,278.00,1.00,43002964,2026-09-23T02:03:44Z
A,orig,lp_shuf,pread,128,4,0,0.00,100.00,95.61,272897.44,174.72,272722.72,,,272993.05,272818.33,1.60,0.00,278.00,1.00,43003040,2026-09-23T02:03:44Z
B,orig,lp_sorted,pread,128,4,0,0.00,100.00,98.39,18376.02,174.37,18201.65,,,18474.41,18300.04,1.57,0.00,278.00,1.00,43021852,2026-09-23T02:03:44Z
B,orig,lp_shuf,pread,128,4,0,0.00,100.00,100.82,268970.47,177.56,268792.91,,,269071.29,268893.73,1.58,0.00,278.00,1.00,43021928,2026-09-23T02:03:45Z
C,orig,lp_sorted,pread,128,4,0,0.00,100.00,94.21,2955.30,177.19,2778.10,,,3049.51,2872.31,1.52,0.00,37.00,1.00,43020424,2026-09-23T02:03:45Z
